General Fund: Revenues	FY 2013	FY 2014	FY 2015	FY 2016	FY 2017	FY 2018	FY 2019
Internal Service Funds							
Employee Training Fund	500000	500000	500000	500000	500000	750000	750000
Equipment Replacement	4472629	3560595	3743406	4023406	4023406	4163406	4163406
Eqipment Maintenance	7474062	6910069	6461013	6461013	6461013	6461013	6461013
Building Maintenance Fund	3616367	3573407	3588738	3588738	3588738	3588738	3588738
Warehouse	325824	327822	225000	225000	225000	225000	225000
Computer & Server Replacement	380826	384216	382998	382998	382998	382998	382998
Workers Compensation	7967786	8226975	8316328	9199194	9201683	9569988	9681972
Subtotal	24737494	23483084	23217483	24380349	24382838	25141143	25253127
							
Other Funds							
Capital Improvement Fund	5305154	8222193	7731607	5501269	5501269	5348269	5348269
Public Liability	1752987	1695888	1695888	1695888	1695888	695000	393623
Library	15488692	16236039	16631412	16904288	17236634	19020937	19369671
Rent Board	3911005	3899835	3900000	3900000	3900000	5500000	5500000
Successor Agency	2746208	2868432	3172884	1222988	1222988	486367	486367
Playground Camp	2072410	6352799	1000832	1000832	1000832	1000832	1000832
Hlth State Aid Realign Trust	3583097	4081366	3603018	3703018	3703018	3703018	3703018
Other Funds	5254050	6405333	4026059	4110712	4176884	4183079	4031843
Subtotal	40113603	49761885	41761700	38038995	38437513	39937502	39833623
							
Revenue Totals	215057773	243604205	212266607	215849758	216317096	230735348	233957083
							
							
							
							
Restricted Funds: Expenditures	FY 2013	FY 2014	FY 2015	FY 2016	FY 2017	FY 2018	FY 2019
Mayor & Council	0	0	0	0	0	0	0
Auditor	119600	140132	130027	153492	156260	162800	166585
Police Review Commission	0	0	0	0	0	0	0
City Manager	278080	272483	451961	490153	494948	754272	761348
Office of Economic Development	1877780	1367760	2227862	2286738	2301721	2935402	2940968
Information Technology	3771757	3383853	3453425	3511390	3542616	10521785	11010954
City Attorney	1229537	1696419	1719633	1776141	1784092	1945415	1965249
City Clerk	0	0	0	0	0	0	0
Finance	1657626	1601974	1878587	1886893	1907626	1970933	2001706
Human Resources	1077991	1198629	1333418	1400864	1423561	1832942	1875928
Health, Housing & Community Services	22732453	22956307	25490291	28954380	27580827	32306065	33655346
Police	2718030	3863903	4613303	4986922	5051999	5368327	5477647
Fire	5839425	5851217	7056428	7527406	7581542	8106773	8227927
Public Works	90011682	87384742	92642275	97542225	93875848	147921765	114782371
Parks, Recreation & Waterfront	18937891	18419202	17962391	19565560	19223958	22882479	21222558
Planning	9661327	10851361	11417342	12757697	12920482	16278387	16451901
Library	23743956	20326538	19094157	18908184	17577785	831450	282561
Rent Board	3985087	3826758	4245000	4476410	4528273	5525740	5525740
Community Agencies	0	0	0	0	0	0	0
Non-Departmental	41825076	29838712	32139517	32435139	31709537	24301217	23646223
Subtotal	229467298	212979990	225855617	238659594	231661075	283645752	249995012
Berkeley Housing Authority	138374	25326	-	-	-	-	-
Less: Dual Appropriations			-52331726	-55258672	-54317462	-25589992	-25157694
NET EXPENDITURES	229467298	212979990	173523891	183400922	177343613	258055760	224837318
